medicamentosap,textobrevemedicamento,med_std,esencial,esencial_item,esencial_desc
2050000080,"PANTALÓN B.C. VERDE XG","PANTALON B.C. VERDE XG","No esencial","",""
2050000081,"PANTALÓN B.C. VERDE XXG","PANTALON B.C. VERDE XXG","No esencial","",""
2050000082,"PANTALON CELESTE G","PANTALON CELESTE G","No esencial","",""
2050000083,"PANTALON CELESTE M","PANTALON CELESTE M","No esencial","",""
2050000084,"PANTALÓN CELESTE P","PANTALON CELESTE P","No esencial","",""
2050000085,"PANTALÓN CELESTE XG","PANTALON CELESTE XG","No esencial","",""
2050000086,"PANTALÓN CELESTE XXG","PANTALON CELESTE XXG","No esencial","",""
2050000087,"PANTALÓN ROSADO G","PANTALON ROSADO G","No esencial","",""
2050000088,"PANTALÓN ROSADO M","PANTALON ROSADO M","No esencial","",""
2050000089,"PANTALÓN ROSADO P","PANTALON ROSADO P","No esencial","",""
2050000090,"PANTALÓN ROSADO XG","PANTALON ROSADO XG","No esencial","",""
2050000091,"PANTALÓN ROSADO XXG","PANTALON ROSADO XXG","No esencial","",""
2050000092,"PANTALÓN SM AZUL  P","PANTALON SM AZUL  P","No esencial","",""
2050000093,"PANTALÓN SM AZUL G","PANTALON SM AZUL G","No esencial","",""
2050000094,"PANTALÓN SM AZUL M","PANTALON SM AZUL M","No esencial","",""
2050000095,"PANTALÓN SM AZUL XG","PANTALON SM AZUL XG","No esencial","",""
2050000096,"PANTALÓN SM AZUL XXG","PANTALON SM AZUL XXG","No esencial","",""
2050000097,"PANTALON SARGA MEDIA AZUL XXXXG","PANTALON SARGA MEDIA AZUL XXXXG","No esencial","",""
2050000098,"PANTALÓN SM BLANCO G","PANTALON SM BLANCO G","No esencial","",""
2050000099,"PANTALÓN SM BLANCO M","PANTALON SM BLANCO M","No esencial","",""
2050000100,"PANTALÓN SM BLANCO P","PANTALON SM BLANCO P","No esencial","",""
2050000101,"PANTALÓN SM BLANCO XG","PANTALON SM BLANCO XG","No esencial","",""
2050000102,"PANTALÓN SM BLANCO XXG","PANTALON SM BLANCO XXG","No esencial","",""
2050000103,"PANTALÓN TAFETÁN G","PANTALON TAFETAN G","No esencial","",""
2050000104,"PANTALÓN TAFETÁN M","PANTALON TAFETAN M","No esencial","",""
2050000105,"PANTALÓN TAFETÁN P","PANTALON TAFETAN P","No esencial","",""
2050000106,"PANTALÓN TAFETÁN XG","PANTALON TAFETAN XG","No esencial","",""
2050000107,"PANTALÓN TAFETÁN XXG","PANTALON TAFETAN XXG","No esencial","",""
2050000108,"BANDERA  PYA 3 X 1,50","BANDERA  PYA 3 X 1,50","No esencial","",""
2050000109,"BANDERA IPS  1,00 X 0,60","BANDERA IPS  1,00 X 0,60","No esencial","",""
2050000110,"BANDERA IPS 0,40 X 0,30","BANDERA IPS 0,40 X 0,30","No esencial","",""
2050000111,"BANDERA IPS 2 M","BANDERA IPS 2 M","No esencial","",""
2050000112,"BANDERA IPS 3 X 1,50","BANDERA IPS 3 X 1,50","No esencial","",""
2050000113,"BANDERA PYA  0,40 X 0,30","BANDERA PYA  0,40 X 0,30","No esencial","",""
2050000114,"BANDERA PYA  1,00 X 0,60","BANDERA PYA  1,00 X 0,60","No esencial","",""
2050000115,"BANDERA PYA  10 M","BANDERA PYA  10 M","No esencial","",""
2050000116,"BANDERA PYA  2M","BANDERA PYA  2M","No esencial","",""
2050000117,"BANDERA PYA  50 M","BANDERA PYA  50 M","No esencial","",""
2050000118,"MANTEL VERDE DE 1,50 X 1,60","MANTEL VERDE DE 1,50 X 1,60","No esencial","",""
2050000119,"MANTEL VERDE DE 2,00 X 1,60","MANTEL VERDE DE 2,00 X 1,60","No esencial","",""
2050000120,"MANTEL VERDE DE 2,50 X1,60","MANTEL VERDE DE 2,50 X1,60","No esencial","",""
2050000121,"MANTEL VERDE DE 3,00 X 1,60","MANTEL VERDE DE 3,00 X 1,60","No esencial","",""
2050000122,"MANTEL VERDE DE 3,50 X 1,60","MANTEL VERDE DE 3,50 X 1,60","No esencial","",""
2050000123,"MANTEL VERDE DE 5,00 X 1,60","MANTEL VERDE DE 5,00 X 1,60","No esencial","",""
2050000124,"SERVILLETA IPS","SERVILLETA IPS","No esencial","",""
2050000125,"BANDERA PYA 2 M. CON ESCUDO","BANDERA PYA 2 M. CON ESCUDO","No esencial","",""
2050000126,"CORTINA INFANTIL","CORTINA INFANTIL","No esencial","",""
2050000127,"CORTINA TAPIZ INDÚ 4,10 X 1,50","CORTINA TAPIZ INDU 4,10 X 1,50","No esencial","",""
2050000128,"CORTINA TAPIZ INDÚ 4,60 X 1,50","CORTINA TAPIZ INDU 4,60 X 1,50","No esencial","",""
2050000129,"CORTINA TAPIZ INDÚ 8,90 X 1,50","CORTINA TAPIZ INDU 8,90 X 1,50","No esencial","",""
2050000130,"ESCRITORIO  DE MADERA TIPO L","ESCRITORIO  DE MADERA TIPO L","No esencial","",""
2050000131,"ESCRITORIO DE MADERA ESTÁNDAR","ESCRITORIO DE MADERA ESTANDAR","No esencial","",""
2050000132,"BANCOS DE MADERA CON RESPALDO","BANCOS DE MADERA CON RESPALDO","No esencial","",""
2050000133,"BANCOS DE MADERA SIN RESPALDO","BANCOS DE MADERA SIN RESPALDO","No esencial","",""
2050000134,"BANCOS DE MADERA TIPO PLAZA","BANCOS DE MADERA TIPO PLAZA","No esencial","",""
2050000135,"MESA DE MADERA","MESA DE MADERA","No esencial","",""
2050000136,"MUEBLES COLGANTES DE MADERA TIPO ALACENA","MUEBLES COLGANTES DE MADERA TIPO ALACENA","No esencial","",""
2050000137,"ARMARIO DE MADERA TIPO MODULAR","ARMARIO DE MADERA TIPO MODULAR","No esencial","",""
2050000138,"TABURETES ALTOS DE MADERA","TABURETES ALTOS DE MADERA","No esencial","",""
2050000139,"TABURETES BAJOS DE MADERA","TABURETES BAJOS DE MADERA","No esencial","",""
2050000140,"CAMA LITERA DE MADERA","CAMA LITERA DE MADERA","No esencial","",""
2050000141,"CUNA DE MADERA","CUNA DE MADERA","No esencial","",""
2050000142,"ESTANTES DE MADERA","ESTANTES DE MADERA","No esencial","",""
2050000143,"GAVETAS DE MADERA","GAVETAS DE MADERA","No esencial","",""
2050000144,"ANÁLISIS DE ORINA","ANALISIS DE ORINA","No esencial","",""
2050000145,"CONSTANCIA DE CONSULTA CAPIATÁ","CONSTANCIA DE CONSULTA CAPIATA","No esencial","",""
2050000146,"CONSTANCIA PACIENTES","CONSTANCIA PACIENTES","No esencial","",""
2050000147,"CONTRASEÑA DE RESULTADO MED. TRANSF","CONTRASENA DE RESULTADO MED. TRANSF","No esencial","",""
2050000148,"CORTE CARTULINA A4","CORTE CARTULINA A4","No esencial","",""
2050000149,"CORTE CARTULINA CARTA","CORTE CARTULINA CARTA","No esencial","",""
2050000150,"CORTE CARTULINA OFICIO","CORTE CARTULINA OFICIO","No esencial","",""
2050000151,"HOJA DE PEDIDO BLOCK","HOJA DE PEDIDO BLOCK","No esencial","",""
2050000152,"ORDEN DE AMBULANCIA","ORDEN DE AMBULANCIA","No esencial","",""
2050000153,"PATOLOGIA CERVICAL BLOCK","PATOLOGIA CERVICAL BLOCK","No esencial","",""
2050000154,"ORDEN DE LABORATORIO BLOCK 60GRS","ORDEN DE LABORATORIO BLOCK 60GRS","No esencial","",""
2050000155,"RECETA DE ANTEOJOS BLOCK","RECETA DE ANTEOJOS BLOCK","No esencial","",""
2050000156,"RECETARIO MEDICO BLOCK","RECETARIO MEDICO BLOCK","No esencial","",""
2050000157,"AUTORIZACIÓN TRATAMIENTO QUIRURG BLOCK","AUTORIZACION TRATAMIENTO QUIRURG BLOCK","No esencial","",""
2050000158,"SOBRE GRANDE","SOBRE GRANDE","No esencial","",""
2050000159,"TARJETA PARA PACIENTE","TARJETA PARA PACIENTE","No esencial","",""
2050000160,"CARDIOLOGÍA DIAGNÓSTICA DPTOIMAGEN BLOCK","CARDIOLOGIA DIAGNOSTICA DPTOIMAGEN BLOCK","No esencial","",""
2050000161,"FICHA RAC IPS","FICHA RAC IPS","No esencial","",""
2050000162,"CARPETA ECOGRAFÍA DE MAMAS","CARPETA ECOGRAFIA DE MAMAS","No esencial","",""
2050000163,"CARPETA ECOGRAFÍA GENERAL","CARPETA ECOGRAFIA GENERAL","No esencial","",""
2050000164,"CARPETA EXPED CLÍNICO DUPLEX","CARPETA EXPED CLINICO DUPLEX","No esencial","",""
2050000165,"CARPETA SERVICIO NEUROLOGÍA","CARPETA SERVICIO NEUROLOGIA","No esencial","",""
2050000166,"ECOGRAFÍA OBSTÉTRICA","ECOGRAFIA OBSTETRICA","No esencial","",""
2050000167,"CARPETA ARCHIVADORA CON LOGOS IPS","CARPETA ARCHIVADORA CON LOGOS IPS","No esencial","",""
2050000168,"FICHA CLINICA","FICHA CLINICA","No esencial","",""
2050000169,"FICHA INTERCONSULTA POLICÍNICA","FICHA INTERCONSULTA POLICINICA","No esencial","",""
2050000170,"FIHCA ODONTOLÓGICA","FIHCA ODONTOLOGICA","No esencial","",""
2050000171,"ORDEN DE ESTUDIO BLOCK","ORDEN DE ESTUDIO BLOCK","No esencial","",""
2050000172,"GRÁFICO DE TEMPERATURA BLOCK","GRAFICO DE TEMPERATURA BLOCK","No esencial","",""
2050000173,"HISTORIA CLÍNICA PEDIÁTRICA","HISTORIA CLINICA PEDIATRICA","No esencial","",""
2050000174,"HOJA DE EVOLUCION BLOCK","HOJA DE EVOLUCION BLOCK","No esencial","",""
2050000175,"HOJA ENFERMERIA UNIVERSAL BLOCK","HOJA ENFERMERIA UNIVERSAL BLOCK","No esencial","",""
2050000176,"HOJA SÁBANA BLOCK","HOJA SABANA BLOCK","No esencial","",""
2050000177,"ORDEN DEL MÉDICO BLOCK","ORDEN DEL MEDICO BLOCK","No esencial","",""
2050000178,"ANOTACIONES DE LA ENFERMERA BLOCK","ANOTACIONES DE LA ENFERMERA BLOCK","No esencial","",""
2050000179,"BANCO DE SANGRE INTERROGATIVO BLOCK","BANCO DE SANGRE INTERROGATIVO BLOCK","No esencial","",""
2050000180,"DÍA LIBRE UNIVERSAL","DIA LIBRE UNIVERSAL","No esencial","",""
2050000181,"EVALUACIÓN CAJA DE PRÉSTAMO ANEXO 2","EVALUACION CAJA DE PRESTAMO ANEXO 2","No esencial","",""
2050000182,"FIRMA CODEUDORA ANEXO 1","FIRMA CODEUDORA ANEXO 1","No esencial","",""
2050000183,"HISTORIA CLINICA CAPIATA BL","HISTORIA CLINICA CAPIATA BL","No esencial","",""
2050000184,"LEY 5061 ANEXO 3","LEY 5061 ANEXO 3","No esencial","",""
2050000185,"PEDIDO DIARIO DE DROGAS BLOCK","PEDIDO DIARIO DE DROGAS BLOCK","No esencial","",""
2050000186,"PEDIDOS DE MEDICAMENTOS QUIROFANO BLOCK","PEDIDOS DE MEDICAMENTOS QUIROFANO BLOCK","No esencial","",""
2050000187,"PROCESAMIENTO DE ROPAS HOSP. SOP","PROCESAMIENTO DE ROPAS HOSP. SOP","No esencial","",""
2050000188,"PROTOCOLO DE PREVENCIÓN BLOCK","PROTOCOLO DE PREVENCION BLOCK","No esencial","",""
2050000189,"PROTOCOLO MEDICAMENTO CAPIATÁ","PROTOCOLO MEDICAMENTO CAPIATA","No esencial","",""
2050000190,"RECEPCIÓN DE PRENDAS - LAVANDERÍA","RECEPCION DE PRENDAS - LAVANDERIA","No esencial","",""
2050000191,"RIESGO HABITUAL BLOCK","RIESGO HABITUAL BLOCK","No esencial","",""
2050000192,"SERVICIO DE RESONANCIA MAGNÉTICA","SERVICIO DE RESONANCIA MAGNETICA","No esencial","",""
2050000193,"SOLICITUD DE PRÉSTAMOS A SOLA FIRMA FUNC","SOLICITUD DE PRESTAMOS A SOLA FIRMA FUNC","No esencial","",""
2050000194,"SOLICITUD CAJA PRÉSTAMOS JUBIL SIN GARAN","SOLICITUD CAJA PRESTAMOS JUBIL SIN GARAN","No esencial","",""
2050000195,"BOLETÍN INFORMATIVO","BOLETIN INFORMATIVO","No esencial","",""
2050000196,"CARNET INFANTIL","CARNET INFANTIL","No esencial","",""
2050000197,"CERTIFICADO DE REPOSO TRIPLICADO","CERTIFICADO DE REPOSO TRIPLICADO","No esencial","",""
2050000198,"CERTIFICADO DE VACUNACIÓN 5 AÑOS Y +","CERTIFICADO DE VACUNACION 5 ANOS Y +","No esencial","",""
2050000199,"CERTIFICADO EDUCACIÓN FÍSICA CAPIATÁ","CERTIFICADO EDUCACION FISICA CAPIATA","No esencial","",""
2050000200,"DÌPTICO CÁNCER DE MAMA","DIPTICO CANCER DE MAMA","No esencial","",""
2050000201,"RÓTULO RECAMBIO CARDIOLOGÍA","ROTULO RECAMBIO CARDIOLOGIA","No esencial","",""
2050000202,"RÓTULO VÍA PERIFÉRICA","ROTULO VIA PERIFERICA","No esencial","",""
2050000203,"ROTULOS COLORES DE CAIDA","ROTULOS COLORES DE CAIDA","No esencial","",""
2050000204,"RÓTULOS IDENTIFICACIÓN OBSTETRICIA","ROTULOS IDENTIFICACION OBSTETRICIA","No esencial","",""
2050000205,"RÓTULO MEDICINA TRANSFUSIONAL","ROTULO MEDICINA TRANSFUSIONAL","No esencial","",""
2050000206,"ROTULO RIS-PACS","ROTULO RIS-PACS","No esencial","",""
2050000207,"RÓTULO SERVICIOS VARIOS","ROTULO SERVICIOS VARIOS","No esencial","",""
2050000208,"RÓTULOS SOLUCIÓN ENFERMERÍA","ROTULOS SOLUCION ENFERMERIA","No esencial","",""
2050000209,"RÓTULO SUERO UROLOGÍA","ROTULO SUERO UROLOGIA","No esencial","",""
2050000210,"RÓTULOS VÍAS PERFUS","ROTULOS VIAS PERFUS","No esencial","",""
2050000211,"TARJETA SUMINISTROS MEDICAMENTOS","TARJETA SUMINISTROS MEDICAMENTOS","No esencial","",""
2050000212,"EXPEDIENTE SERVICIO CARDIOCIRUGIA","EXPEDIENTE SERVICIO CARDIOCIRUGIA","No esencial","",""
2050000213,"PATOLOGIA CERVICAL CUELLO UTERINO","PATOLOGIA CERVICAL CUELLO UTERINO","No esencial","",""
2050000214,"SOLICITUD DE PRESTAMO EMERG FUNCIONARIOS","SOLICITUD DE PRESTAMO EMERG FUNCIONARIOS","No esencial","",""
2050000215,"ROTULO INVENTARIO GENERAL DEL AÑO","ROTULO INVENTARIO GENERAL DEL ANO","No esencial","",""
2050000216,"LIBRO DE OBRA DIARIO","LIBRO DE OBRA DIARIO","No esencial","",""
2050000217,"ORDEN DE LABORATORIO SANGRE BLOCK 60GRS","ORDEN DE LABORATORIO SANGRE BLOCK 60GRS","No esencial","",""
2050000218,"RECETARIO MÉDICO 2","RECETARIO MEDICO 2","No esencial","",""
2050000219,"RECETARIO DE CONTINGENCIA","RECETARIO DE CONTINGENCIA","No esencial","",""
2050000220,"SOLICITUD DE ADMISION BLOCK","SOLICITUD DE ADMISION BLOCK","No esencial","",""
2050000221,"CARPETA CARDIOCIRUGIA","CARPETA CARDIOCIRUGIA","No esencial","",""
2050000222,"PROTOCOLO DE MAMOGRAFIA BLOCK","PROTOCOLO DE MAMOGRAFIA BLOCK","No esencial","",""
2050000234,"DIPTICO DENGUE","DIPTICO DENGUE","No esencial","",""
2050000236,"CARPETA ANATOMIA PATOLOGICA","CARPETA ANATOMIA PATOLOGICA","No esencial","",""
2050000238,"PRUEBA DE VIH Y/O SIFILIS BLOCK","PRUEBA DE VIH Y/O SIFILIS BLOCK","No esencial","",""
2050000242,"CAMBIO DE GUARDIA UNIVERSAL","CAMBIO DE GUARDIA UNIVERSAL","No esencial","",""
2050000243,"HISTORIA CLINICA CAPIATA BLOCK","HISTORIA CLINICA CAPIATA BLOCK","No esencial","",""
2050000244,"CHOMBA VERDE B.G","CHOMBA VERDE B.G","No esencial","",""
2050000246,"TOALLA 0,20 X 0,20","TOALLA 0,20 X 0,20","No esencial","",""
2050000249,"TOALLA 0,40 X 0,40","TOALLA 0,40 X 0,40","No esencial","",""
2050000250,"TOALLA 0,33 X 0,33","TOALLA 0,33 X 0,33","No esencial","",""
2050000251,"TOALLA 0,50 X 0,50","TOALLA 0,50 X 0,50","No esencial","",""
2050000254,"TRASPASO DE TURNO APPEAR BLOCK","TRASPASO DE TURNO APPEAR BLOCK","No esencial","",""
2050000255,"FICHA DE INTERCONSULTA BLOCK","FICHA DE INTERCONSULTA BLOCK","No esencial","",""
2050000256,"SOLICITUD DE TRANSFUCION DE SANGRE BLOCK","SOLICITUD DE TRANSFUCION DE SANGRE BLOCK","No esencial","",""
2050000257,"CARPETA DE ENDOSCOPIA DIGESTIVA","CARPETA DE ENDOSCOPIA DIGESTIVA","No esencial","",""
2050000258,"HOJA DE ENFERMERIA CREAM BLOCK","HOJA DE ENFERMERIA CREAM BLOCK","No esencial","",""
2050000259,"REGISTRO DIARIO CREAM BLOCK","REGISTRO DIARIO CREAM BLOCK","No esencial","",""
2050000260,"CARPETA P/ RESULTADOS ESPIROMETRIA","CARPETA P/ RESULTADOS ESPIROMETRIA","No esencial","",""
2050000263,"CONTRAS ENTREGAS RESULTADOS LABORATORIO","CONTRAS ENTREGAS RESULTADOS LABORATORIO","No esencial","",""
2050000264,"HISTORIA CLINICA DEL RECIEN NACIDO BLOCK","HISTORIA CLINICA DEL RECIEN NACIDO BLOCK","No esencial","",""
2050000266,"CARPETA DE EXPEDIENTE CLINICO CARTULINA","CARPETA DE EXPEDIENTE CLINICO CARTULINA","No esencial","",""
2050000268,"HOJA DE PROTOCOLO FARMACIA URG BLOCK","HOJA DE PROTOCOLO FARMACIA URG BLOCK","No esencial","",""
2050000270,"HOJA SÁBANA UEMA BLOCK","HOJA SABANA UEMA BLOCK","No esencial","",""
2050000271,"CARPETA SERVICIO DE PERINATOLOGIA","CARPETA SERVICIO DE PERINATOLOGIA","No esencial","",""
2050000272,"HOJA DE ENFERMERIA PEDIATRICA BLOCK","HOJA DE ENFERMERIA PEDIATRICA BLOCK","No esencial","",""
2050000273,"HISTORIA CLINICA AMBULATORIA BLOCK","HISTORIA CLINICA AMBULATORIA BLOCK","No esencial","",""
2050000274,"FICHA CONTROL DE ASISTENCIA MFISICABLOCK","FICHA CONTROL DE ASISTENCIA MFISICABLOCK","No esencial","",""
2050000275,"FICHA DE EVACUACION BLOCK","FICHA DE EVACUACION BLOCK","No esencial","",""
2050000276,"PEDIDO DE ANATOMIA PATOLOGICA BLOCK","PEDIDO DE ANATOMIA PATOLOGICA BLOCK","No esencial","",""
2050000277,"CORTINA P/ BIOMBO","CORTINA P/ BIOMBO","No esencial","",""
2050000279,"CERTIFICADO DE REPOSO SIMPLE BLOCK","CERTIFICADO DE REPOSO SIMPLE BLOCK","No esencial","",""
2050000280,"HOJA DE PRIMERA CONSULTA BLOCK","HOJA DE PRIMERA CONSULTA BLOCK","No esencial","",""
2050000281,"CHOMBA MANGA LARGA PEQUEÑO","CHOMBA MANGA LARGA PEQUENO","No esencial","",""
2050000282,"CHOMBA MANGA LARGA MEDIANO","CHOMBA MANGA LARGA MEDIANO","No esencial","",""
2050000283,"CHOMBA MANGA LARGA GRANDE","CHOMBA MANGA LARGA GRANDE","No esencial","",""
2050000284,"CHOMBA MANGA LARGA XL","CHOMBA MANGA LARGA XL","No esencial","",""
2050000294,"GORRO SP BLANCO","GORRO SP BLANCO","No esencial","",""
2050000296,"PLANILLA COMBUSTIBLE AMBULANCIA BLOCK","PLANILLA COMBUSTIBLE AMBULANCIA BLOCK","No esencial","",""
2050000297,"PLANILLA DE REGISTRO AMBULANCIA BLOCK","PLANILLA DE REGISTRO AMBULANCIA BLOCK","No esencial","",""
2050000298,"PLANILLA CONTROL DE AMBULANCIA BLOCK","PLANILLA CONTROL DE AMBULANCIA BLOCK","No esencial","",""
2050000300,"CARPETA CARDIOLOGIA NO INVASIVA","CARPETA CARDIOLOGIA NO INVASIVA","No esencial","",""
2050000301,"TRIPTICO U.S HORQUETA","TRIPTICO U.S HORQUETA","No esencial","",""
2050000302,"DELANTAL TAPIZ INDU","DELANTAL TAPIZ INDU","No esencial","",""
2050000303,"HOJA SABANA TERAPIA INTERMEDIA BLOCK","HOJA SABANA TERAPIA INTERMEDIA BLOCK","No esencial","",""
2050000304,"HISTORIA CLINICA (1)","HISTORIA CLINICA (1)","No esencial","",""
2050000305,"HOJA DE ENFERMERIA NEONATOLOGIA BLOCK","HOJA DE ENFERMERIA NEONATOLOGIA BLOCK","No esencial","",""
2050000306,"CARPETA MAMOGRAFIA","CARPETA MAMOGRAFIA","No esencial","",""
2050000308,"HOJA ENFERMERIA GERIATRICO BLOCK","HOJA ENFERMERIA GERIATRICO BLOCK","No esencial","",""
2050000309,"LIBRO DE OBITO SECCION ADMISION BLOCK","LIBRO DE OBITO SECCION ADMISION BLOCK","No esencial","",""
2050000310,"BOLETA DE VISITA MEDICASA BLOCK","BOLETA DE VISITA MEDICASA BLOCK","No esencial","",""
2050000311,"PRODUCTIVIDAD BANCO DE SANGRE BLOCK","PRODUCTIVIDAD BANCO DE SANGRE BLOCK","No esencial","",""
2050000312,"CARPETA EXPEDIENTE CLINICO ILUSTRACION","CARPETA EXPEDIENTE CLINICO ILUSTRACION","No esencial","",""
2050000313,"TRIPTICO MEDICINA PREVENTIVA","TRIPTICO MEDICINA PREVENTIVA","No esencial","",""
2050000314,"CHOMBA POPLIN BLANCO P","CHOMBA POPLIN BLANCO P","No esencial","",""
2050000315,"CHOMBA POPLIN BLANCO M","CHOMBA POPLIN BLANCO M","No esencial","",""
2050000316,"CHOMBA POPLIN BLANCO G","CHOMBA POPLIN BLANCO G","No esencial","",""
2050000317,"CARPETA DIRECCION JURIDICA","CARPETA DIRECCION JURIDICA","No esencial","",""
2050000318,"CARPETA SECRETARIA DE CONSEJO","CARPETA SECRETARIA DE CONSEJO","No esencial","",""
2050000319,"CARPETA CONTABILIDAD","CARPETA CONTABILIDAD","No esencial","",""
2050000320,"CARPETA APORTE OBRERO PATRONAL","CARPETA APORTE OBRERO PATRONAL","No esencial","",""
2050000321,"CARPETA JUBILACIONES","CARPETA JUBILACIONES","No esencial","",""
2050000322,"COMPRESA DOBLE 2,50","COMPRESA DOBLE 2,50","No esencial","",""
2050000323,"CARPETA CON LOGO ILUSTRACION","CARPETA CON LOGO ILUSTRACION","No esencial","",""
2050000324,"CAMISON POPLIN VERDE AGUA","CAMISON POPLIN VERDE AGUA","No esencial","",""
2050000325,"ANOTACIONES DE LA ENFERMERA 90GRS BLOCK","ANOTACIONES DE LA ENFERMERA 90GRS BLOCK","No esencial","",""
2050000326,"FICHA RAC 90 GRS","FICHA RAC 90 GRS","No esencial","",""
2050000327,"RECETARIO MEDICO BLOCK 90 GRS","RECETARIO MEDICO BLOCK 90 GRS","No esencial","",""
2050000328,"HOJA DE PEDIDO BLOCK 90GRS","HOJA DE PEDIDO BLOCK 90GRS","No esencial","",""
2050000329,"ORDEN DE ESTUDIO BLOCK 90GRS","ORDEN DE ESTUDIO BLOCK 90GRS","No esencial","",""
2050000330,"HOJA DE ENFERMERIA UNIVERSAL BLOCK 90GRS","HOJA DE ENFERMERIA UNIVERSAL BLOCK 90GRS","No esencial","",""
2050000331,"FICHA AUTOEXCLUSION BLOCK 90GRS B.SANGRE","FICHA AUTOEXCLUSION BLOCK 90GRS B.SANGRE","No esencial","",""
2050000332,"HISTORIA CLINICA AMBULATORIA BLOCK 90GRS","HISTORIA CLINICA AMBULATORIA BLOCK 90GRS","No esencial","",""
2050000333,"HOJA PRIMERA CONSULTA BLOCK 90GRS","HOJA PRIMERA CONSULTA BLOCK 90GRS","No esencial","",""
2050000334,"HOJA DE RESONANCIA MAGNETICA BLOCK 90GRS","HOJA DE RESONANCIA MAGNETICA BLOCK 90GRS","No esencial","",""
2050000335,"VIGILANCIA Y ATENCION DEL PARTO BLOCK90G","VIGILANCIA Y ATENCION DEL PARTO BLOCK90G","No esencial","",""
2050000337,"CARPETA CON LOGO AOP CARTULINA 180GRS","CARPETA CON LOGO AOP CARTULINA 180GRS","No esencial","",""
2050000338,"HOJA DE ENFERMERIA NEFROLOGIA BLOCK P.C","HOJA DE ENFERMERIA NEFROLOGIA BLOCK P.C","No esencial","",""
2050000339,"AFICHE PROGRAMA DE SALUD ILUSTRACION","AFICHE PROGRAMA DE SALUD ILUSTRACION","No esencial","",""
2050000340,"HOJA DE EVOLUCION BLOCK PAPEL COMERCIAL","HOJA DE EVOLUCION BLOCK PAPEL COMERCIAL","No esencial","",""
2050000341,"CARPETA ANATOMIA PATOLOGICA ILUSTRACION","CARPETA ANATOMIA PATOLOGICA ILUSTRACION","No esencial","",""
2050000342,"AUT TRATAMIENTO QUIRUGICO BLOCK 90GRS","AUT TRATAMIENTO QUIRUGICO BLOCK 90GRS","No esencial","",""
2050000343,"CHOMBA BC AZUL XXXL","CHOMBA BC AZUL XXXL","No esencial","",""
2050000352,"CHOMBA TAFETAN XXXL","CHOMBA TAFETAN XXXL","No esencial","",""
2050000362,"DECLARACION JURADA PERS JURIDICAS AOP BL","DECLARACION JURADA PERS JURIDICAS AOP BL","No esencial","",""
2050000363,"CARPETA GERENCIA ADM ILUSTRACION","CARPETA GERENCIA ADM ILUSTRACION","No esencial","",""
2050000372,"TRIPTICO CAPELLANIA ILUSTRACION","TRIPTICO CAPELLANIA ILUSTRACION","No esencial","",""
2050000374,"SOLICITUD DE PIN SISTEMA REI BLOCK AOP","SOLICITUD DE PIN SISTEMA REI BLOCK AOP","No esencial","",""
2050000375,"CHALECO  QUIRURGICO SP VERDE","CHALECO  QUIRURGICO SP VERDE","No esencial","",""
2050000376,"CHALECO QUIRURGICO TI","CHALECO QUIRURGICO TI","No esencial","",""
2050000377,"PANTALON SM AZUL XXXL","PANTALON SM AZUL XXXL","No esencial","",""
2050000378,"PANTALON SM BLANCO XXXL","PANTALON SM BLANCO XXXL","No esencial","",""
2050000382,"CARPETA CON LOGO AOP CARTULINA 240GRS","CARPETA CON LOGO AOP CARTULINA 240GRS","No esencial","",""
2050000383,"CONSTANCIA DE NO ADEUDAR AOP BLOCK","CONSTANCIA DE NO ADEUDAR AOP BLOCK","No esencial","",""
2050000392,"SOLICITUD PRESTAMO P/FUNCIONARIO BK 75GR","SOLICITUD PRESTAMO P/FUNCIONARIO BK 75GR","No esencial","",""
2050000393,"SOLICITUD PRESTAMOS A SOLA FIRMA BK 75GR","SOLICITUD PRESTAMOS A SOLA FIRMA BK 75GR","No esencial","",""
2050000395,"SOLICITUD PRESTAMOS C/ GARANTE BK 75GRS","SOLICITUD PRESTAMOS C/ GARANTE BK 75GRS","No esencial","",""
2050000396,"SOLICITUD PRESTAMOS SIN GARANTE BK 75GRS","SOLICITUD PRESTAMOS SIN GARANTE BK 75GRS","No esencial","",""
2050000397,"TRIPTICO CANCER DE PROSTATA ILUSTACION","TRIPTICO CANCER DE PROSTATA ILUSTACION","No esencial","",""
2050000398,"CAMISON POPLIN BLANCO","CAMISON POPLIN BLANCO","No esencial","",""
2050000399,"PONCHITO 0.50 X 0.50","PONCHITO 0.50 X 0.50","No esencial","",""
2050000401,"FUNDA G PARA BALON SP VERDE","FUNDA G PARA BALON SP VERDE","No esencial","",""
2050000402,"FUNDA PARA EQUIPO DE CAMARA","FUNDA PARA EQUIPO DE CAMARA","No esencial","",""
2050000403,"FUNDA PARA CARRO SP VERDE","FUNDA PARA CARRO SP VERDE","No esencial","",""
2050000404,"CORTINA PARA BIOMBO","CORTINA PARA BIOMBO","No esencial","",""
2050000405,"CHOMBA BC VERDE XXL","CHOMBA BC VERDE XXL","No esencial","",""
2050000408,"CHOMBA INFANTIL XXXG","CHOMBA INFANTIL XXXG","No esencial","",""
2050000409,"BANDERA PARAGUAYA C/E 1.20 X 0.90","BANDERA PARAGUAYA C/E 1.20 X 0.90","No esencial","",""
